index,Crefo,Strasse_raw,HausNummer_raw,Plz_raw,Ort_raw,street_norm,house_norm,plz4_used,ort_norm,swis_match_type,swis_changed,swis_adr_egaid,swis_bdg_egid,swis_street_ref,swis_house_ref,swis_plz4_ref,swis_ort_ref
8728,401961214,Steinhaldenstrasse,65,800200,Zürich,steinhaldenstrasse,65,8002,zuerich,strict,False,100125763,143966,Steinhaldenstrasse,65,8002,Zürich
8729,422359668,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8730,401954670,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8731,403876945,Steinhaldenstrasse,46,800200,Zürich,steinhaldenstrasse,46,8002,zuerich,strict,False,100128371,143932,Steinhaldenstrasse,46,8002,Zürich
8732,401953207,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8733,422383661,Steinhaldenstrasse,62,800200,Zürich,steinhaldenstrasse,62,8002,zuerich,strict,False,100125760,143963,Steinhaldenstrasse,62,8002,Zürich
8734,401967579,Steinhaldenstrasse,79,800200,Zürich,steinhaldenstrasse,79,8002,zuerich,strict,False,100125773,143976,Steinhaldenstrasse,79,8002,Zürich
8735,403864494,Steinhaldenstrasse,69,800200,Zürich,steinhaldenstrasse,69,8002,zuerich,strict,False,100125767,143970,Steinhaldenstrasse,69,8002,Zürich
8736,401939328,Steinhaldenstrasse,55,800200,Zürich,steinhaldenstrasse,55,8002,zuerich,strict,False,100128386,143947,Steinhaldenstrasse,55,8002,Zürich
8737,422490761,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8738,401939396,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8739,401942114,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8740,401939397,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8741,422674432,Steinhaldenstrasse,67f,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8742,401938077,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8743,401939303,Steinhaldenstrasse,44,800200,Zürich,steinhaldenstrasse,44,8002,zuerich,strict,False,100128364,143926,Steinhaldenstrasse,44,8002,Zürich
8744,401936808,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8745,423221285,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8746,401951209,Steinhaldenstrasse,48,800200,Zürich,steinhaldenstrasse,48,8002,zuerich,strict,False,101725069,143932,Steinhaldenstrasse,48,8002,Zürich
8747,401940981,Steinhaldenstrasse,40,800200,Zürich,steinhaldenstrasse,40,8002,zuerich,strict,False,100128349,143912,Steinhaldenstrasse,40,8002,Zürich
8748,401917331,Steinhaldenstrasse,67,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,False,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8749,423123200,Steinhaldenstrasse,79,800200,Zürich,steinhaldenstrasse,79,8002,zuerich,strict,False,100125773,143976,Steinhaldenstrasse,79,8002,Zürich
8750,404011932,Steinhaldenstrasse,73,800200,Zürich,steinhaldenstrasse,73,8002,zuerich,strict,False,100125772,143975,Steinhaldenstrasse,73,8002,Zürich
8751,401961213,Steinhaldenstrasse,65,800200,Zürich,steinhaldenstrasse,65,8002,zuerich,strict,False,100125763,143966,Steinhaldenstrasse,65,8002,Zürich
8752,403881755,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8753,423439823,Steinhaldenstrasse,44,800200,Zürich,steinhaldenstrasse,44,8002,zuerich,strict,False,100128364,143926,Steinhaldenstrasse,44,8002,Zürich
8754,403810416,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8755,401963688,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8756,403824483,Steinhaldenstrasse,40,800200,Zürich,steinhaldenstrasse,40,8002,zuerich,strict,False,100128349,143912,Steinhaldenstrasse,40,8002,Zürich
8757,423355726,Steinhaldenstrasse,44,800200,Zürich,steinhaldenstrasse,44,8002,zuerich,strict,False,100128364,143926,Steinhaldenstrasse,44,8002,Zürich
8758,403412713,Steinhaldenstrasse,42,800200,Zürich,steinhaldenstrasse,42,8002,zuerich,strict,False,100128362,143925,Steinhaldenstrasse,42,8002,Zürich
8759,401956526,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8760,402485316,Steinhaldenstrasse,63,800200,Zürich,steinhaldenstrasse,63,8002,zuerich,strict,False,100125761,143964,Steinhaldenstrasse,63,8002,Zürich
8761,423004855,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8762,402971923,Steinhaldenstrasse,63,800200,Zürich,steinhaldenstrasse,63,8002,zuerich,strict,False,100125761,143964,Steinhaldenstrasse,63,8002,Zürich
8763,402007490,Steinhaldenstrasse,60,800200,Zürich,steinhaldenstrasse,60,8002,zuerich,strict,False,100125759,143962,Steinhaldenstrasse,60,8002,Zürich
8764,402999095,Steinhaldenstrasse,62,800200,Zürich,steinhaldenstrasse,62,8002,zuerich,strict,False,100125760,143963,Steinhaldenstrasse,62,8002,Zürich
8765,422781891,Steinhaldenstrasse,40,800200,Zürich,steinhaldenstrasse,40,8002,zuerich,strict,False,100128349,143912,Steinhaldenstrasse,40,8002,Zürich
8766,402989451,Steinhaldenstrasse,73,800200,Zürich,steinhaldenstrasse,73,8002,zuerich,strict,False,100125772,143975,Steinhaldenstrasse,73,8002,Zürich
8767,402019625,Steinhaldenstrasse,79,800200,Zürich,steinhaldenstrasse,79,8002,zuerich,strict,False,100125773,143976,Steinhaldenstrasse,79,8002,Zürich
8768,403397644,Steinhaldenstrasse,64,800200,Zürich,steinhaldenstrasse,64,8002,zuerich,strict,False,100125762,143965,Steinhaldenstrasse,64,8002,Zürich
8769,425220611,Steinhaldenstrasse,55,800200,Zürich,steinhaldenstrasse,55,8002,zuerich,strict,False,100128386,143947,Steinhaldenstrasse,55,8002,Zürich
8770,404777360,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8771,402255736,Steinhaldenstrasse,63,800200,Zürich,steinhaldenstrasse,63,8002,zuerich,strict,False,100125761,143964,Steinhaldenstrasse,63,8002,Zürich
8772,404916404,Steinhaldenstrasse,60,800200,Zürich,steinhaldenstrasse,60,8002,zuerich,strict,False,100125759,143962,Steinhaldenstrasse,60,8002,Zürich
8773,425090821,STEINHALDENSTRASSE,44,800200,Zürich,steinhaldenstrasse,44,8002,zuerich,strict,False,100128364,143926,Steinhaldenstrasse,44,8002,Zürich
8774,404727853,Steinhaldenstrasse,66,800200,Zürich,steinhaldenstrasse,66,8002,zuerich,strict,False,100125764,143967,Steinhaldenstrasse,66,8002,Zürich
8775,424245759,Steinhaldenstrasse,50,800200,Zürich,steinhaldenstrasse,50,8002,zuerich,strict,False,100128372,143933,Steinhaldenstrasse,50,8002,Zürich
8776,404754472,Steinhaldenstrasse,49,800200,Zürich,steinhaldenstrasse,49,8002,zuerich,strict,False,100128383,143944,Steinhaldenstrasse,49,8002,Zürich
8777,424465304,Steinhaldenstrasse,52,800200,Zürich,steinhaldenstrasse,52,8002,zuerich,strict,False,100128373,143934,Steinhaldenstrasse,52,8002,Zürich
8778,404536844,Steinhaldenstrasse,68,800200,Zürich,steinhaldenstrasse,68,8002,zuerich,strict,False,100125766,143969,Steinhaldenstrasse,68,8002,Zürich
8779,424011192,Steinhaldenstrasse,67c,800200,Zürich,steinhaldenstrasse,67,8002,zuerich,strict,True,100125765,143968,Steinhaldenstrasse,67,8002,Zürich
8780,404470126,Steinhaldenstrasse,59,800200,Zürich,steinhaldenstrasse,59,8002,zuerich,strict,False,100128387,143948,Steinhaldenstrasse,59,8002,Zürich
8781,424463260,Steinhaldenstrasse,44,800200,Zürich,steinhaldenstrasse,44,8002,zuerich,strict,False,100128364,143926,Steinhaldenstrasse,44,8002,Zürich
8782,404228115,Steinhaldenstrasse,64,800200,Zürich,steinhaldenstrasse,64,8002,zuerich,strict,False,100125762,143965,Steinhaldenstrasse,64,8002,Zürich
8783,424077043,Steinhaldenstrasse,69,800200,Zürich,steinhaldenstrasse,69,8002,zuerich,strict,False,100125767,143970,Steinhaldenstrasse,69,8002,Zürich
8784,404246795,Steinhaldenstrasse,70,800200,Zürich,steinhaldenstrasse,70,8002,zuerich,strict,False,100125768,143971,Steinhaldenstrasse,70,8002,Zürich
8785,424437741,Steinhaldenstrasse,36,800200,Zürich,steinhaldenstrasse,36,8002,zuerich,strict,False,100128346,143910,Steinhaldenstrasse,36,8002,Zürich
8786,404104514,Steinhaldenstrasse,49,800200,Zürich,steinhaldenstrasse,49,8002,zuerich,strict,False,100128383,143944,Steinhaldenstrasse,49,8002,Zürich
8787,423929348,Steinhaldenstrasse,36,800200,Zürich,steinhaldenstrasse,36,8002,zuerich,strict,False,100128346,143910,Steinhaldenstrasse,36,8002,Zürich
8788,405820002,Steinhaldenstrasse,68,800200,Zürich,steinhaldenstrasse,68,8002,zuerich,strict,False,100125766,143969,Steinhaldenstrasse,68,8002,Zürich
8789,424415598,Steinhaldenstrasse,37,800200,Zürich,steinhaldenstrasse,37,8002,zuerich,strict,False,101731468,302024293,Steinhaldenstrasse,37,8002,Zürich
8790,406116026,Steinhaldenstrasse,62,800200,Zürich,steinhaldenstrasse,62,8002,zuerich,strict,False,100125760,143963,Steinhaldenstrasse,62,8002,Zürich
8791,423559176,Steinhaldenstrasse,48,800200,Zürich,steinhaldenstrasse,48,8002,zuerich,strict,False,101725069,143932,Steinhaldenstrasse,48,8002,Zürich
